"GEMS TARIFF FOR ALL OTHER  PATHOLOGISTS
WITH EFFECT FROM 2026-01-01",,052-Pathology
3995,Biochemical tests-Blood: Acid phosphate,R107.50
3996,Amyloid A serum,R171.50
3997,Biochemical tests-Blood: Acid phosphatase,R37.20
3998,Amino acids: Quantitative (Post derivatisation HPLC),"R1,619.00"
3999,Biochemical tests-Blood: Albumin,R99.10
4000,Biochemical tests-Blood: Alcohol,R257.10
4001,Biochemical tests-Blood: Alkaline phosphatase,R107.50
4002,Biochemical tests-Blood: Alkaline phosphatase-iso-enzymes,R242.40
4003,Biochemical tests-Blood: Ammonia: enzymatic,R159.70
4004,Biochemical tests-Blood: Ammonia: monitor,R93.40
4005,Biochemical tests-Blood: Alpha-antitrypsin,R149.00
4006,Biochemical tests-Blood: Amylase,R107.50
4007,Arsenic in blood,R751.40
4008,Bilirubin - Reflectance,R98.60
4009,Biochemical tests-Blood: Bilirubin - total,R98.60
4010,Biochemical tests-Blood: Bilirubin - conjugated,R75.10
4011,Hydrogen Breath Test,R446.60
4012,CSF Nicotinic Acid,R257.30
4013,CSF Glutamine,R233.00
4014,Cadmium: Atomic absorption,R375.60
4016,Calcium:ionized,R139.80
4017,Biochemical tests-Blood: Calcium: spectrophotometric,R75.10
4018,Biochemical tests-Blood: Calcium: atomic absorption,R150.20
4019,Biochemical tests-Blood: Carotene,R46.90
4020,Carnitine (Total or free) in biological fluid: each ,R242.20
4021,Carnitine (Total or free) in muscle tissue: each ,R484.50
4022,Acyl Carmitine ,R484.50
4023,Biochemical tests-Blood: Chloride,R53.70
4025,Chol/HDL/LDL/Trig/ ters,R560.90
4026,LDL cholesterol (chemical determination).,R142.80
4027,Biochemical tests-Blood: Cholesterol: total,R110.60
4028,Biochemical tests-Blood: HDL Cholesterol,R142.80
4029,Biochemical tests-Blood: Cholinesterase: serum/erythrocyte,R154.90
4030,Cholinesterase phenotype,R186.70
4031,Biochemical tests-Blood: Total Co2,R107.50
4032,Biochemical tests-Blood: Creatinine,R75.10
4033,CSF-Immunoglobulin G,R195.80
4034,C1-Esterase Inhibitor,R195.80
4035,CSF-Albumin,R195.80
4036,CSF-IgG Index,R457.10
4038,Glutamic Acid,R602.50
4040,Homocysteine (random),R317.10
4041,Homocysteine (after methionine load),R375.20
4042,Biochemical tests-Blood: D-Xylose apsorption test,R272.30
4045,Biochemical tests-Blood: Fibrogen: quantitative,R74.90
4047,Biochemical tests-Blood: Hollander test,R512.90
4049,Biochemical tests-Blood: Glucose tolerance test 2 specs,R185.80
4050,Biochemical tests-Blood: Glucose strip test,R37.20
4051,Biochemical tests-Blood: Galactose,R233.00
4052,Biochemical tests-Blood: Glucose tolerance test 3 specs,R272.80
4053,Biochemical tests-Blood: Glucose tolerance test 4 specs,R359.70
4057,Biochemical tests-Blood: Glucose,R75.10
4061,Biochemical tests-Blood: Glucose tolerance test 5 specs,R446.60
4062,Galactose-1-phosphate,R331.60
4063,Fructosamine,R149.00
4064,Biochemical tests-Blood: Glycated haemoglobin,R295.20
4066,Immunofixation: Total protein IgGIgAIgMKappaLambda,R971.50
4067,Biochemical tests-Blood: Lithium: flame ionization,R107.50
4068,Biochemical tests-Blood: Lithium: atomic absorption,R154.90
4071,Biochemical tests-Blood: Iron,R139.80
4073,Biochemical tests-Blood: Iron-binding capacity,R158.70
4076,Blood gases: Panel 2:Panel 1(4075) & ancillary tests,R392.90
4078,Oximetry analysis: MetHbCOHb02HbRHbSulfHb,R139.80
4079,Biochemical tests-Blood: Ketones in plasma: qualitative,R46.90
4081,Biochemical tests-Blood: Drug level-biological fluid: quantitative,R223.90
4082,Tacrolimus assay,R416.50
4083,Lysosomal enzyme assay ,R757.70
4084,Thymidine Kinase,R414.60
4085,Biochemical tests-Blood: Lipase,R107.50
4086,Lactate,R331.60
4091,Biochemical tests-Blood: Lipoprotein,R186.70
4092,Orosmucoid,R195.80
4093,Biochemical tests-Blood: Osmolality: serum/urine,R139.80
4094,Biochemical tests-Blood: Magnesium: spectrophotometric,R75.10
4095,Biochemical tests-Blood: Magnesium: atomic absorption,R150.20
4096,Biochemical tests-Blood: Mercury: atomic absorption,R375.60
4098,Biochemical tests-Blood: Copper: atomic absorption,R375.60
4105,Biochemical tests-Blood: Protein electrophoresis,R186.70
4106,IgG sub-class 1,R414.60
4109,Biochemical tests-Blood: Phosphate,R75.10
4111,Biochemical tests-Blood: Phospholipids,R65.30
4113,Biochemical tests-Blood: Potassium,R75.10
4114,Biochemical tests-Blood: Sodium,R75.10
4117,Biochemical tests-Blood: Protein: total,R64.50
4121,Biochemical tests-Blood: pH,R139.80
4123,Biochemical tests-Blood: Pyruvic acid,R93.40
4125,Biochemical tests-Blood: Salicylates,R93.40
4126,Biochemical tests-Blood: Secretin-pancreozymin response,R541.00
4127,Biochemical tests-Blood: Caeruloplasmen,R93.40
4128,Biochemical tests-Blood: Phenylalanine: quantitative,R233.00
4129,Biochemical tests-Blood: Glutamate dehydrogenase,R112.00
4130,Biochemical tests-Blood: Aspartate aminotransferase,R112.00
4131,Biochemical tests-Blood: Alanine aminotransferase,R112.00
4132,Biochemical tests-Blood: Creatine kinase,R112.00
4133,Biochemical tests-Blood: Lactate dehidrogenase,R112.00
4134,Biochemical tests-Blood: Gamma glutamyl transferase,R112.00
4135,Biochemical tests-Blood: Aldolase,R112.00
4136,Biochemical tests-Blood: Angiotensin converting enzyme,R186.70
4137,Biochemical tests-Blood: Lactate dehydrogenase isoenzyme,R223.90
4138,CK-MB:Immunoinhibition/precipitation,R223.90
4139,Biochemical tests-Blood: Adenosine deaminase,R112.00
4142,Biochemical tests-Blood: Redcell enzymes: each,R161.60
4143,Biochemical tests-Blood: Serum/plasma enzymes: each,R112.00
4144,Biochemical tests-Blood: Transferin,R242.40
4146,Biochemical tests-Blood: Lead: atomic absorption,R310.90
4147,Biochemical tests-Blood: Triglyceride,R164.50
4149,Red Cell Magnesium,R242.40
4151,Biochemical tests-Blood: Urea,R75.10
4152,CK-MB: mass determination: quantitative (Automated) ,R257.10
4153,CK-MB: mass determination: quantitative (not automat,R362.20
4154,Myoglobin quantitative: Monoclonal immunological ,R257.10
4155,Biochemical tests-Blood: Uric acid,R78.50
