"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
28804,RB AMP 1.50 Trans SV GEN S Boost Fit,R651.70,
28806,RB AMP 1.60 Trans SV GEN S Boost Fit,"R1,590.80",
28808,RB AMP 1.67 Trans SV GEN S Boost Fit,R709.20,
28809,RB AMP 1.74 Trans SV GEN S Boost Fit,"R2,089.20",
28812,Optique DS 1.50 Acclimates (REG/SH),"R2,089.20",
28813,Mirror,"R1,349.30",
28814,Hard Multi-Coat Blue-Light Protect,"R2,587.50",
28816,SV 1.74 Clear HMC,"R3,172.10",
28818,Rodenstock 1.6 Colormatic 3 Chestnut Brown Solitaire Protect ++,"R1,245.80",
28822,Rodenstock 1.54 Colormatic IQ 2 Pure Grey Solitaire Protect ++,"R3,929.20",
28824,Unique URX 1.56 Single Vision Stock High Script,"R2,660.30",
28826,ELL 1.53 Trivex Transitions Drivewear 74mm surfaced UC,"R4,801.30",
28831,ELL 1.53 Trivex Endless Sport Transitions Drivewear surfaced UC,"R3,152.90",
28832,ELL 1.5 Nupolar Mirror surfaced Silver/Blue/Gold UC,"R5,684.80",
28834,ELL 1.5 Endless Sport Nupolar Mirror silver/blue/gold surfaced UC,R731.90,
28836,Single Vision 1.56Blue Uncoated,R931.50,
28838,Maxxee SV 1.56Blue Uncoated,R789.70,
28839,Maxxee SV 1.56Blue Photo Uncoated,"R2,070.00",
28842,LW Retina SV 1.50 Surfaced Polar Uncoated,R387.00,
28843,LW Retina SV 1.60 Surfaced Polar Uncoated,R456.20,
28845,LW Retina SV 1.67 Surfaced Clear Uncoated,R609.50,
28846,LW Retina SV 1.50 Surfaced Transitions Uncoated,R636.00,
28847,LW Retina SV 1.59 Surfaced Clear Uncoated,R860.60,
28848,LW Retina SV 1.60 Surfaced Clear Uncoated,R636.00,
28851,LW Retina SV 1.67 Surfaced Photochromic Uncoated,"R1,128.90",
28858,LW Retina SV 1.67 Surfaced Transitions Uncoated,,
28861,LW Retina SV 1.74 Surfaced Transitions Uncoated,"R3,796.90",
28863,LW Retina SV 1.59 Surfaced Transitions Uncoated,"R2,570.30",
28865,LW Retina SV 1.56 Surfaced Photochromic Uncoated,"R1,590.80",
28867,LW Retina SV 1.60 Surfaced Photochromic Uncoated,"R1,590.80",
28868,LW Retina SV 1.60 Surfaced Transitions Uncoated,R450.00,
28869,ELL 1.53 Trivex Endless Anti-Fatigue Transitions Drivewear UC,"R1,590.80",
28870,ELL 1.53 Trivex MyoLess by IOT Transitions GenS UC,R768.00,
28871,LW 1.50 Retina FF Anti-Fatigue Transitions Uncoated,"R1,590.80",
28872,ELL 1.5 Flattop 28 Transitions Gen8 UC,,
28874,ELL 1.53 Trivex Flattop Transitions UC,R530.00,
28875,ELL 1.61 MR8 Franklin Trifocal Photogrey  Spincoat UC,R268.30,
28876,LW 	Retina FF 1.50 Flat-Top 28D Transitions Uncoated,,
28877,LW Retina FF 1.56 Flat-Top 28D Photochromic Uncoated,R592.30,
28878,LW Retina FF 1.50 Smart-Office HD Clear Uncoated,R396.00,
28879,LW Retina FF 1.60 Smart-Office HD Clear Uncoated,R883.60,
28880,ELL 1.61 MR8 Olympia Freeform by IOT Polarised UC,"R1,796.00",
28881,ELL 1.5 Olympia Freeform by IOT Clear UC,"R1,796.00",
28892,ELL 1.56 Olympia Freeform by IOT Photogrey/Brown UC,"R1,750.80",
28897,ELL 1.61 MR8 Olympia Freeform by IOT Photogrey Spincoat UC,R862.50,
28901,ELL 1.53 Trivex Endless Steady Transitions Drivewear UC,"R2,108.30",
28902,ELL 1.67 MR7 Olympia Freeform by IOT Polarised UC,"R2,587.50",
28923,ELL 1.53 Trivex Endless Sport Transitions Drivewear UC,"R1,150.00",
28926,Maxxee M-Focal 1.56Blue uncoated,#N/A,
28935,Maxxee Plus Progressive 1.56Blue Uncoated,"R1,054.20",
