"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
82LW345,LW Retina SV 1.60 Surfaced Photochromic Uncoated,"R3,503.00",
82LW355,LW Retina SV 1.60 Surfaced Transitions Uncoated,"R3,618.00",
82LW365,LW Retina FF 1.53 Dura-Sport SV Transitions Uncoated,"R5,789.20",
82LW375,LW Retina FF 1.60 Dura-Sport SV Transitions Uncoated,"R5,763.90",
82PO001,STANDARD SV 1.50 CRSV,R0.00,
82PO002,STANDARD SV 1.53 TRIVEX CLEAR,R627.40,
82PO003,STANDARD SV 1.67 AS CRSV,R98.40,
82PO004,STANDARD SV 1.50 TRANS 8 GREY/BROWN,R772.30,
82PO005,STANDARD SV 1.56 PHOTOCHROMATIC GREY/BROWN,R0.00,
82PO006,STANDARD SV 1.67 PHOTOCHROMATIC GREY/BROWN,R315.80,
82PO007,STANDARD SV 1.50 POLARIZED BROWN/GREY/G-15,R0.00,
82PO008,STANDARD SV 1.60 POLARIZED BROWN/GREY/G-15,R928.20,
82PO009,STANDARD SV 1.67 POLARIZED BROWN/GREY/G-15,"R1,333.00",
82PO00D,STANDARD SV 1.50 AS UV 420,R0.00,
82PO00E,STANDARD SV 1.59 POLYCARBONATE UV420++,R98.40,
82PO00F,STANDARD SV 1.67 AS UV 420,R170.90,
82PO011,STANDARD SV 1.50 LENTICULAR,R0.00,
82PO012,STANDARD SV 1.59 POLYCARBONATE,R0.00,
82PO013,STANDARD SV 1.74 AS CRSV,R648.10,
82PO014,PRIME SV 1.50 TRANS 8 GREY/BROWN,"R1,015.60",
82PO015,STANDARD SV 1.59 POLYCARBONATE PHOTOGREY,R409.50,
82PO016,STANDARD SV 1.67 PHOTO GREY AS UV 420 ++,R378.50,
82PO017,PRIME SV 1.50 POLARIZED BROWN/GREY/G-15,R56.50,
82PO018,PRIME SV 1.60 POLARIZED BROWN/GREY/G-15,"R1,201.90",
82PO019,PRIME SV 1.67 POLARIZED BROWN/GREY/G-15,"R1,688.30",
82PO01D,PRIME SV 1.50 AS UV 420,R0.00,
82PO01E,STANDARD SV 1.60 AS UV 420,R98.40,
82PO01F,STANDARD SV 1.74 AS UV 420,R730.90,
82PO021,PRIME SV 1.50 CRSV,R0.00,
82PO022,STANDARD SV 1.59 POLYCARBONATE (Tintable),R274.40,
82PO023,PRIME SV 1.67 AS CRSV,R206.00,
82PO025,STANDARD SV 1.60 PHOTOCHROMATIC GREY/BROWN,R295.10,
82PO026,STANDARD SV 1.67 PHOTO BROWN AS UV 420 ++,R378.50,
82PO02E,PRIME SV 1.59 POLYCARBONATE UV420++,R206.00,
82PO02F,PRIME SV 1.67 AS UV 420,R293.40,
82PO031,PRIME SV 1.50 LENTICULAR,R0.00,
82PO032,STANDARD SV 1.60 AS CRSV,R0.00,
82PO033,PRIME SV 1.74 AS CRSV,R866.10,
82PO035,STANDARD SV 1.56 PHOTO GREY AS UV 420++,R0.00,
82PO036,STANDARD SV 1.74 PHOTO GREY AS UV 420++,"R1,052.40",
82PO03E,PRIME SV 1.60 AS UV 420,R206.00,
82PO03F,PRIME SV 1.74 AS UV 420,R965.00,
82PO042,PRIME SV 1.53 TRIVEX CLEAR,R840.80,
82PO045,STANDARD SV 1.56 PHOTO BROWN AS UV 420++,R0.00,
82PO046,STANDARD SV 1.67 TRANS 8 GREY/BROWN,"R1,333.00",
82PO052,PRIME SV 1.59 POLYCARBONATE,R0.00,
82PO055,STANDARD SV 1.60 PHOTO GREY AS UV 420++,R450.90,
82PO056,STANDARD SV 1.74 TRANSITION 8 GREY,"R2,815.90",
82PO062,PRIME SV 1.59 POLYCARBONATE (Tintable),R417.60,
82PO065,STANDARD SV 1.60 PHOTO BROWN AS UV 420++,R450.90,
82PO066,PRIME SV 1.67 PHOTOCHROMATIC GREY/BROWN,R467.00,
82PO072,PRIME SV 1.60 AS CRSV,R56.50,
82PO075,STANDARD SV 1.53 TRIVEX TRANS 8 GREY/BROWN,"R1,187.50",
82PO076,PRIME SV 1.67 PHOTO GREY AS UV 420 ++,R542.90,
82PO085,STANDARD SV 1.59 POLYCARBONATE TRANS 8,"R1,187.50",
82PO086,PRIME SV 1.67 PHOTO BROWN AS UV 420 ++,R542.90,
82PO095,STANDARD SV 1.60 TRANS 8 GREY/BROWN,"R1,125.40",
82PO096,PRIME SV 1.74 PHOTO GREY AS UV 420++,"R1,351.40",
82PO105,PRIME SV 1.56 PHOTOCHROMATIC GREY/BROWN,R0.00,
82PO106,PRIME SV 1.67 TRANS 8 GREY/BROWN,"R1,688.30",
82PO115,PRIME SV 1.59 POLYCARBONATE PHOTOGREY,R579.70,
82PO116,PRIME SV 1.74 TRANSITION 8 GREY,"R3,467.40",
82PO125,PRIME SV 1.60 PHOTOCHROMATIC GREY/BROWN,R442.90,
82PO135,PRIME SV 1.56 PHOTO GREY AS UV 420++,R0.00,
82PO145,PRIME SV 1.56 PHOTO BROWN AS UV 420++,R0.00,
82PO155,PRIME SV 1.60 PHOTO GREY AS UV 420++,R629.20,
82PO165,PRIME SV 1.60 PHOTO BROWN AS UV 420++,R629.20,
82PO175,PRIME SV 1.53 TRIVEX TRANS 8 GREY/BROWN,"R1,513.50",
82PO185,PRIME SV 1.59 POLYCARBONATE TRANS 8,"R1,513.50",
82PO195,PRIME SV 1.60 TRANS 8 GREY/BROWN,"R1,438.80",
82PP031,1.50 Precision Clear myopia control,"R1,798.70",
82PP042,1.59 Precision polycarb Clear myopia control,"R2,537.00",
82PP052,1.6  Precision Clear myopia control,"R3,068.30",
82PP062,1.56 Precision  myopia control blue cut,"R2,357.60",
82PP063,1.67  Precision Clear myopia control,"R3,772.10",
82PP072,1.59 Precision  myopia control poly blue cut,"R3,772.10",
82PP073,1.74 Precision Clear myopia control,"R4,632.30",
82PP082,1.6  Precision myopia control  blue cut,"R3,772.10",
82PP083,1.74 Precision Clear myopia control,"R4,632.30",
82PP092,1.56 Precision myopia control photovision,"R2,357.60",
82PP093,1.67 Precision myopia control blue cut,"R4,220.60",
82PP102,1.6 Precision myopia control photovision,"R5,191.20",
82PP103,1.74 Precision myopia control blue cut,"R7,491.20",
82PP112,1.56 Precision myopia control photovision blue cut,"R2,537.00",
82PP113,1.67 Precision myopia control photovision,"R5,635.10",
82PP122,1.6  Precision myopia control photovision blue cut,"R5,366.00",
82PP123,1.67 Precision myopia control photovision blue cut,"R5,807.60",
82PP132,1.53 Precision Clear trivex  Uncoated Surfaced,"R2,129.90",
82PP133,1.74 Precision myopia control photovision blue cut,"R5,989.30",
82RS031,Rodenstock 1.5 MyoCon2 Clear UC,"R2,553.50",
82RS032,Classic 1.6 MR-8 UV400 UC,"R2,328.80",
82RS035,Classic 1.6 MR-8 Myopia Kids Colormatic 3 Grey/Brown UC,"R5,331.70",
82RS041,Classic 1.5 CR39 Clear UC,"R1,368.80",
82RS042,Classic 1.6 MR-8 UV400 Asph Night & Day UC,"R2,559.50",
82RS045,Rodenstock 1.54 MyoCon2 Colormatic 3 UC,"R4,959.40",
82RS051,Classic 1.5 CR39 Asph Night & Day UC,"R1,599.50",
82RS052,Classic 1.6 MR-8 UV400 Asph Night & Day Individual UC,"R2,692.10",
82RS055,Classic 1.54 Colormatic 3 Grey/Brown UC,"R4,158.90",
82RS05F,Rodenstock 1.6 MyoCon2 PRO410 UC,"R3,473.40",
82RS061,Classic 1.5 CR39 Asph Night & Day Individual UC,"R1,732.10",
82RS062,Classic 1.6 MR-8 UV400 Myopia Kids UC,"R3,107.20",
82RS065,Classic 1.6 MR-8 Colormatic 3 Brown/Blue/Green/Grey UC,"R4,553.30",
82RS071,Classic 1.5 CR39 Myopia Kids UC,"R2,147.20",
82RS072,Rodenstock 1.53 Trivex MyoCon2 Clear UC,"R2,813.90",
82RS075,Classic 1.54 Asph Night & Day Colormatic 3 Grey/Brown UC,"R4,389.60",
82RS07F,Rodenstock 1.67 MyoCon2 PRO410 UC,"R4,402.70",
82RS082,Classic 1.53 Trivex Myopia Kids UC,"R3,245.60",
82RS085,Classic 1.6 MR-8 Asph Night & Day Colormatic 3 Brown/Blue/Green/Grey UC,"R4,783.90",
82RS095,Classic 1.54 Asph Night & Day Individual Colormatic 3 Grey/Brown UC,"R4,522.20",
82RS096,Rodenstock 1.6 MyoCon2 Colormatic 3 UC,"R6,020.90",
82RS103,Classic 1.67 MR-10 UV400 Asph UC,"R2,985.00",
82RS105,Classic 1.6 MR-8 Asph Night & Day Individual Colormatic 3 Brown/Blue/Green/Grey UC,"R4,916.60",
82RS106,Rodenstock 1.67 MyoCon2 Colormatic 3 UC,"R7,799.40",
82RS115,Classic 1.54 Myopia Kids Colormatic 3 Grey/Brown UC,"R4,937.30",
82RS116,Classic 1.67 MR-10 Asph Colormatic 3 Brown/Grey UC,"R5,389.30",
82RS123,Classic 1.67 MR-10 UV400 Asph Night & Day UC,"R3,123.40",
82RS126,Classic 1.67 MR-10 Asph Night & Day Colormatic 3 Brown/Grey UC,"R5,527.70",
82RS136,Classic 1.67 MR-10 Asph Night & Day Individual Colormatic 3 Brown/Grey UC,"R5,660.40",
82RS143,Classic 1.67 MR-10 UV400 Asph Night & Day Individual UC,"R3,256.00",
82RS153,Rodenstock 1.6 MyoCon2 Clear UC,"R3,331.90",
82RS163,Rodenstock 1.67 MyoCon2 Clear UC,"R4,261.20",
82UM068,Bollé Axis,"R3,670.90",
82UM072,Bollé Nylon TNS Ice / TNS,"R4,360.90",
82UM078,Bollé Brown Gun,"R3,670.90",
82UM082,Bollé Nylon Brown Blue,"R4,360.90",
82UM088,Bollé Nylon Volt+ Offshore / Volt+ Gun / Volt+ Ultraviolet,"R4,498.90",
82UM092,Bollé Nylon Clear,"R4,360.90",
82UM095,Bollé Photochromic Clear Grey Protect Anti-Fog,"R2,727.90",
82UM102,Bollé Brown Blue,"R2,451.90",
82UM105,Bollé Photochromic Clear Grey Protect Anti-Fog Adult,"R3,532.90",
82UM112,Bollé Clear Protect Anti-Fog,R818.90,
82UM122,Bollé  Clear Protect Anti-Fog Adult,"R1,347.90",
82UP013,Unique URX 1.67 Surfaced Single Vision CR39 Clear,"R3,889.40",
82UP016,Unique URX 1.67 Surfaced Single Vision CR39 Transition,"R6,212.40",
82UP055,Unique URX 1.6 Surfaced Single Vision PhotoSun,"R3,921.60",
83EC043,MyoLess 1.67,"R2,988.50",
83EC053,MyoLess 1.74,"R5,343.20",
83EC062,MyoLess 1.60,"R2,348.60",
83EC081,MyoLess 1.50,"R1,720.70",
83EL017,Excellence Anti Fatigue 1.50 Polarized UC,"R3,035.10",
83EL038,Excellence Anti Fatigue 1.60 Polarized UC,"R4,550.80",
83EL03D,Excellence Anti Fatigue 1.50 BlueBlock UV420 UC,"R1,241.10",
83EL06E,Excellence Anti Fatigue 1.60 BlueBlock UV420 UC,"R2,563.60",
83EL104,eLab FreeForm Anti Fatigue 1.50 Transitions GEN S UC,"R2,952.30",
83EL114,Excellence Anti Fatigue 1.50 Photochromic UC,"R2,522.20",
83EL124,Excellence Anti Fatigue 1.50 Transitions GEN S UC,"R2,927.00",
83EL126,eLab FreeForm Anti Fatigue 1.67 Transitions GEN S UC,"R4,642.80",
83EL136,Excellence Anti Fatigue 1.67 Transitions GEN S UC,"R5,728.40",
83EL161,Excellence Anti Fatigue 1.50 Clear UC,"R1,135.30",
83EL203,Excellence Anti Fatigue 1.67 Clear UC,"R3,297.30",
83EL252,Excellence Anti Fatigue 1.53 Clear UC,"R2,404.90",
83EL255,eLab FreeForm Anti Fatigue 1.53 Transitions GEN S UC,"R3,750.40",
83EL262,Excellence Anti Fatigue 1.60 Clear UC,"R2,404.90",
83EL265,eLab FreeForm Anti Fatigue 1.60 Transitions GEN S UC,"R4,081.60",
83EL275,Excellence Anti Fatigue 1.53 Transitions GEN S UC,"R4,258.70",
83EL285,Excellence Anti Fatigue 1.60 Transitions GEN S UC,"R4,311.60",
83EW064,Easyview Relax Acclimates MT-1 1.5,"R2,001.50",
83EW066,Easyview Relax Acclimates MT-1 1.67,"R4,043.60",
83EW074,Easyview Relax AI Acclimates MT-1 1.5,"R2,712.20",
83EW076,Easyview Relax AI Acclimates MT-1 1.67,"R4,754.30",
83EW095,Easyview Relax Acclimates MT-1 1.6,"R2,622.20",
83EW105,Easyview Relax AI Acclimates MT-1 1.6,"R3,332.90",
83HY114,Maxxee Active 1.5 PhotoReact Uncoated,"R1,678.10",
83IS011,I Sight Anti-Fatique 1.5 Transitions uncoated,"R2,977.50",
83IS021,I Sight anti-Fatique 1.5 Transitions Polarised uncoated,"R3,451.30",
83LW104,1.50 Anti-Fatigue Transitions Uncoated,"R2,832.70",
83LW121,1.50 Anti-Fatigue Clear Uncoated,"R1,448.10",
83LW192,1.60 Anti-Fatigue Clear Uncoated,"R2,008.20",
83LW255,1.56 Anti-Fatigue Photochromic Uncoated,"R1,993.20",
83PO001,FF STANDARD DAF 1.50 CLEAR,R0.00,
83PO002,FF STANDARD DAF 1.60 CLEAR,R108.40,
83PO003,FF STANDARD DAF 1.67 CLEAR,R188.90,
83PO004,FF STANDARD DAF 1.50 TRANSITION 8 GREY/BROWN,R429.80,
83PO005,FF STANDARD DAF 1.56 PHOTO GREY/BROWN,R0.00,
83PO006,FF STANDARD DAF 1.67 PHOTO GREY,R548.80,
83PO007,FF STANDARD DAF 1.50 POLARIZED GREY/BROWN/G-15,R121.00,
83PO008,FF STANDARD DAF 1.60 POLARIZED GREY/BROWN/G-15,R747.20,
83PO009,FF STANDARD DAF 1.67 POLARIZED GREY/BROWN/G-15,"R1,265.30",
83PO011,FF STANDARD OCCUPATIONAL 1.50 CLEAR (DEG 0.50 0.75 1.25 AND 1.50),R0.00,
83PO012,FF STANDARD OCCUPATIONAL 1.60 CLEAR (DEG 0.50 0.75 1.25 AND 1.50),R38.80,
83PO013,FF STANDARD DAF 1.74 CLEAR,R469.50,
83PO014,FF PRIME DAF 1.50 TRANSITION 8 GREY/BROWN,R607.50,
83PO015,FF STANDARD DAF 1.60 PHOTO GREY,R479.20,
83PO016,FF PRIME DAF 1.67 PHOTO GREY,R750.10,
83PO017,FF PRIME DAF 1.50 POLARIZED GREY/BROWN/G-15,R236.00,
83PO018,FF PRIME DAF 1.60 POLARIZED GREY/BROWN/G-15,R988.10,
83PO019,FF PRIME DAF 1.67 POLARIZED GREY/BROWN/G-15,"R1,609.10",
83PO021,FF PRIME DAF 1.50 CLEAR,R76.20,
83PO022,FF PRIME DAF 1.60 CLEAR,R221.10,
83PO023,FF PRIME DAF 1.67 CLEAR,R317.70,
83PO025,FF PRIME DAF 1.56 PHOTO GREY/BROWN,R104.90,
83PO031,FF PRIME OCCUPATIONAL 1.50 CLEAR (DEG 0.50 0.75 1.25 AND 1.50),R41.70,
83PO032,FF PRIME OCCUPATIONAL 1.60 CLEAR (DEG 0.50 0.75 1.25 AND 1.50),R138.30,
83PO033,FF PRIME DAF 1.74 CLEAR,R654.60,
83PO035,FF PRIME DAF 1.60 PHOTO GREY,R666.10,
83RP003,RO Clear Relaxx HD 1.67 Uncoated,"R2,258.90",
83RS025,Classic 1.54 Night & Day Individual Plus 0.5/0.8/1.1 Colormatic 3 Grey/Brown UC,"R4,708.60",
83RS031,Classic  1.5 CR39 Night & Day Individual Plus 0.5/0.8/1.1 UC,"R4,487.20",
83RS032,Classic 1.6 MR-8 UV400 Night & Day Individual Plus 0.5/0.8/1.1 UC,"R2,878.50",
83RS035,Classic 1.6 MR-8 Night & Day Individual Plus 0.5/0.8/1.1 Colormatic 3 Brown/Blue/Green/Grey UC,"R5,103.00",
83RS042,Rodenstock 1.53 Trivex Cosmolit B.I.G NORM Mono+ Clear UC,"R2,531.70",
83RS086,Classic 1.67 MR-10 Night & Day Individual Plus 0.5/0.8/1.1 Colormatic 3 Brown/Grey UC,"R5,846.80",
83RS103,Classic 1.67 MR-10 UV400 Night & Day Individual Plus 0.5/0.8/1.1 UC,"R3,442.40",
83RS123,Rodenstock 1.67 Multigressiv B.I.G NORM Mono+ Clear UC,"R5,280.00",
83SZ034,Active Digital 1.50 PhotoReact Uncoated,"R2,004.70",
83SZ044,Vision Works Smart Active1.5 PhotoReact Uncoated,"R1,563.10",
83UP012,Unique URX 1.6 Relax Clear,"R2,395.70",
83UP025,Unique URX 1.6 Relax PhotoSun,"R3,451.40",
83UT015,Ultimax Relax Photochromic,"R3,315.70",
83UT031,Ultimax Relax Clear,"R1,705.70",
84EA018,DIGITAL FREE FORM 1.6 BIFOCAL SUN POLAR UNCOATED,"R5,872.40",S
84EA045,DIGITAL FREE FORM 1.56 BIFOCAL SUNLITE BLUMAX GRY/BROWN (420) UNCOATED,"R3,328.90",S
84EA055,DIGITAL FREE FORM 1.6 BIFOCAL SUNLITE BLUMAX GRY/BROWN (420) UNCOATED,"R5,074.40",S
84EL019,1.67 Nupolar Flat Top 28 UC,"R5,584.00",
84EL027,1.50 Nupolar Flat Top 28 or 35 UC,"R1,809.70",
84EL033,eLab Flat Top 28 1.67 MR-10 UC,"R3,003.40",
84EL043,eLab Flat Top 28 1.74 MR-174 UC,"R4,330.50",
84EL064,1.50 Transitions GEN S / XTRActive  Flat Top 28 UC  Grey / Brown,"R3,438.10",
84EL074,1.50 Transitions GEN S  Flat Top 35 UC  Grey / Brown,"R4,567.40",
84EL081,eLab Flat Top 28 1.50  UC  70mm  +0.75 to +4.00 add,R678.10,
84EL085,1.53 Trivex Transitions Flat Top 28 UC  Grey / Brown,"R4,829.60",
84EL091,eLab Flat Top 28 1.50  UC  80mm  +0.75 to +4.00 add,R944.90,
84EL092,1.53 Trivex Clear Flat Top 28 UC,"R2,193.80",
84EL101,eLab Flat Top 28 1.50  UC  80mm  High Addition +4.00 to +8.00 add,"R1,138.10",
84EL111,eLab Flat Top 35 1.50  UC  75mm  +0.75 to +4.00 add,R944.90,
84EL121,eLab Flat Top 45 1.50  UC  75mm  +0.75 to +3.00 add,"R1,331.30",
84EL131,eLab Round Seg 28 1.50  UC 70mm  +1.00 to +3.00 add,R944.90,
84EL141,eLab Round Seg 40 1.50  UC 75mm  +0.75 to +4.00 add,"R1,331.30",
84EL151,eLab Seamless Round Seg 28 1.50  UC 75mm  +0.75 to +3.00 add,"R1,138.10",
84EL161,eLab Double D Seg 28 1.50  UC  60% or 100% add combinations,"R1,706.20",
84EW015,BF Seamless Photochromic NG 1.6,"R3,767.20",
84EW022,BF Seamless 1.6,"R2,819.60",
84IS031,invisible BF 1.6 uncoated,R995.40,
84IS041,invisible BF 1.67 uncoated,"R2,416.80",
84IS051,invisible BF 1.6 Photo Grey/Brown uncoated,"R2,653.70",
84IS061,invisible BF 1.6 Photo Grey/Brown uncoated,"R2,653.70",
84IS071,invisible BF 1.5 Transitions uncoated,"R3,127.50",
84IS081,invisible BF 1.5 Transitions Polarised uncoated,"R4,075.10",
84LS006,Damar Lab 1.67 Reactor Rapid Change Flat Top D28 Uncoated,,
84LS042,Damar Lab 1.6 Invisible Flat Top Clear R28 Uncoated,,
84LS045,Damar Lab 1.6 Invisible Flat Top Photogrey R28 Uncoated,,
84LW094,LW 1.50 Flat-Top 28D Transitions Uncoated,"R1,683.20",
84LW105,LW 1.56 Flat-Top 28D Photochromic Uncoated,"R1,248.50",
84LW151,LW 1.50 Flat-Top 28D Clear Uncoated,R555.40,
84PO001,STANDARD 1.50  D28 BIFOCAL,R0.00,
84PO002,STANDARD 1.56 EXCECUTIVE BIFOCAL,R299.80,
84PO003,STANDARD 1.67 CLEAR DFT,R248.00,
84PO005,STANDARD 1.56 SMART BIFOCAL DFT PHOTO GREY/BROWN,R0.00,
84PO011,STANDARD 1.50  KT28 BIFOCAL,R0.00,
84PO012,STANDARD 1.60 CLEAR DFT,R71.50,
84PO013,PRIME 1.67 CLEAR DFT,R405.60,
84PO015,STANDARD 1.56 DFT28 PHOTOCHROMATIC GREY/BROWN,R0.00,
84PO021,STANDARD 1.50 SMART BIFOCAL CLEAR,R0.00,
84PO022,STANDARD 1.59 POLY DFT CLEAR,R0.00,
84PO025,STANDARD 1.56 KT28 PHOTOCHROMATIC GREY,R0.00,
84PO031,PRIME 1.50  D28 BIFOCAL,R0.00,
84PO032,PRIME 1.56 EXCECUTIVE BIFOCAL,R467.70,
84PO035,PRIME 1.56 SMART BIFOCAL DFT PHOTO GREY/BROWN,R19.20,
84PO041,PRIME 1.50  KT28 BIFOCAL,R0.00,
84PO042,PRIME 1.60 CLEAR DFT,R194.00,
84PO045,PRIME 1.56 DFT28 PHOTOCHROMATIC GREY/BROWN,R0.00,
84PO051,PRIME 1.50 SMART BIFOCAL CLEAR,R0.00,
84PO052,PRIME 1.59 POLY DFT CLEAR,R106.60,
84PO055,PRIME 1.56 KT28 PHOTOCHROMATIC GREY,R0.00,
84UP014,Unique URX 1.49 Bifocal CR39 Transition,"R4,277.60",
84UP021,Unique URX 1.49 Bifocal CR39 Clear Uncoated,R137.60,
85EL026,eLab FreeForm Office I 1.67 Transitions GEN S / XTRActive UC,"R4,341.30",
85EL02D,Excellence Office 1.50 BlueBlock UV420 UC,"R2,121.80",
85EL02F,Excellence Office 1.67 BlueBlock UV420 UC,"R3,692.70",
85EL036,Excellence Office 1.67 Transitions GEN S / XTRActive UC,"R6,091.60",
85EL04E,Excellence Office 1.60 BlueBlock UV420 UC,"R2,871.60",
85EL064,eLab FreeForm Office I 1.50 Transitions GEN S / XTRActive UC,"R2,563.40",
85EL074,Excellence Office 1.50 Transitions GEN S / XTRActive UC,"R3,467.30",
85EL105,eLab FreeForm Office I 1.60 Transitions GEN S / XTRActive UC,"R3,750.20",
85EL115,Excellence Office 1.60 Transitions GEN S / XTRActive UC,"R4,713.90",
85EL173,Excellence Office 1.67 Clear UC,"R3,584.60",
85EL191,Excellence Office 1.50 Clear UC,"R2,006.80",
85EL242,Excellence Office 1.53 Clear UC,"R2,641.60",
85EL252,Excellence Office 1.60 Clear UC,"R2,641.60",
85EW044,Easyview Office Acclimates MT-1 1.5,"R1,463.10",
85EW046,Easyview Office Acclimates MT-1 1.67,"R3,505.20",
85EW065,Easyview Office Acclimates MT-1 1.6,"R2,233.00",
85KF02D,1.5 Incredible Signature Office UV420 BlueBlocker Uncoated,"R1,891.80",
85KF03D,1.5 Inigma Signature Office UV420 BlueBlocker Uncoated,"R2,128.70",
85KF04E,1.53 Inigma Signature Office PYE UV420 BlueBlocker Uncoated,"R3,152.20",
85KF05E,1.53 Incredible Signature Office PYE UV420 BlueBlocker Uncoated,"R2,784.20",
85KF061,1.5 Incredible Signature Office Uncoated,"R1,188.00",
85KF06E,1.6 Incredible Signature Office UV420 BlueBlocker Uncoated,"R2,784.20",
85KF071,1.5 Inigma Signature Office Uncoated,"R1,395.00",
85KF07E,1.6 Inigma Signature Office UV420 BlueBlocker Uncoated,"R3,152.20",
85KF142,1.53 Inigma Signature Office PYE Uncoated,"R2,379.40",
85KF152,1.53 Incredible Signature Office PYE Uncoated,"R2,142.50",
85KF162,1.6 Incredible Signature Office Uncoated,"R2,073.50",
85KF172,1.6 Inigma Signature Office Uncoated,"R2,310.40",
85LS005,Damar Lab Digital Office Pro 1.56 Photogrey Uncoated,,
85RS021,Classic 1.5 CR39 Near Vision Book/PC/Office UC,"R1,325.30",
85RS022,Classic 1.6 MR-8 Near Vision Book/PC/Office UC,"R2,285.30",
85RS031,Classic 1.5 CR39 Near Vision Night & Day Book/PC/Office UC,"R1,694.30",
85RS032,Classic 1.6 MR-8 Near Vision Night & Day Book/PC/Office UC,"R2,654.30",
85RS036,Rodenstock 1.6 Progressiv Ergo2 Colormatic 3 UC,"R6,691.40",
85RS041,Classic 1.5 CR39 Near Vision Night & Day Individual Book/PC/Office UC,"R2,017.20",
85RS042,Classic 1.6 MR-8 Near Vision Night & Day Individual Book/PC/Office UC,"R2,977.20",
85RS053,Classic 1.67 MR-10 Near Vision Night & Day Book/PC/Office UC,"R3,218.20",
85RS073,Classic 1.67 MR-10 Near Vision Night & Day Individual Book/PC/Office UC,"R3,541.10",
85RS083,Rodenstock 1.67 Progressiv Ergo2 Clear UC,"R4,775.50",
85UP005,Unique URX 1.56 Office Multifocal PhotoSun,"R1,937.80",
86EA008,NOVA HD SUN POLAR 1.6 UNCOATED,"R11,094.20",
86EA018,NOVA MAXCVUE SUN POLAR GRY/BRN 1.6 UNCOATED,"R12,597.40",
86EA04A,NOVA TRENDFREE 2 DRIVE WEAR TRANSITION BROWN 1.5 UNCOATED,"R9,918.70",
86EA052,NOVA HD WHITE 1.6 UNCOATED,"R3,601.90",
86EA057,NOVA HD NU POLAR 1.5 UNCOATED,"R7,354.00",
86EA05A,NOVA PLUS 3.0 DRIVE WEAR TRANSITION 1.5 UNCOATED,"R12,115.30",
86EA062,NOVA MAXCVUE CR39 WHITE 1.6 UNCOATED,"R4,136.30",
86EA067,NOVA MAXCVUE NU POLAR 1.5 UNCOATED,"R8,555.60",
86EA06A,NOVA HD DRIVE WEAR TRANSITION BRN 1.5 UNCOATED,"R14,086.40",
86EA07A,NOVA MAXCVUE DRIVE WEAR TRANSITION BRN 1.5 UNCOATED,"R16,152.40",
86EA089,NOVA HD SUN POLAR 1.67 UNCOATED,"R13,884.50",
86EA099,NOVA MAXCVUE SUN POLAR GRU/BRN 1.67 UNCOATED,"R15,653.70",
86EA121,NOVA HD WHITE 1.5 UNCOATED,"R1,975.20",
86EA131,NOVA MAXCVUE CR39 WHITE 1.5 UNCOATED,"R3,043.00",
86EA144,NOVA HD TRANSITIONS GEN S/STYLES & EXTRActive1.5 UNCOATED,"R7,852.60",
86EA154,NOVA MAXCVUE TRANSITIONS GEN S/STYLES & EXTRActive 1.5 UNCOATED,"R9,704.90",
86EA155,NOVA HD TRANSITIONS GEN S/STYLES & EXTRActive1.6 UNCOATED,"R9,657.40",
86EA165,NOVA HD FOTO GREY/BROWN 1.56 UNCOATED,"R4,243.00",
86EA175,NOVA HD SUNLITE BLUMAX GREY/BROWN 1.56 UNCOATED (UV420),"R6,855.20",
86EA185,NOVA HD SUNLITE BLUMAX GREY/BROWN 1.6 UNCOATED (UV420),"R7,009.60",
86EA195,NOVA MAXCVUE FOTO GREY/BROWN 1.56 UNCOATED,"R5,857.80",
86EA205,NOVA MAXCVUE SUNLITE BLUMAX GREY/BROWN 1.56 UNCOATED (UV420),"R8,648.20",
86EA215,NOVA MAXCVUE SUNLITE BLUMAX GREY/BROWN 1.6 UNCOATED (UV420),"R8,755.00",
86EA223,NOVA HD WHITE 1.67 UNCOATED,"R6,926.50",
86EA225,NOVA MAXCVUE TRANSITIONS GEN S/STYLES & EXTRActive 1.6 UNCOATED,"R11,284.20",
86EA233,NOVA HD WHITE 1.74 UNCOATED,"R9,479.40",
86EA243,NOVA MAXCVUE CR39 WHITE 1.67 UNCOATED,"R8,363.20",
86EA253,NOVA MAXCVUE CR39 WHITE 1.74 UNCOATED,"R11,759.10",
86EA446,NOVA HD TRANSITIONS GEN S/STYLES & EXTRActive 1.67 UNCOATED,"R10,619.30",
86EA456,NOVA HD TRANSITIONS GEN S 1.74 UNCOATED,"R17,173.60",
86EA466,NOVA HD SUNLITE BLUMAX GREY/BROWN 1.67 UNCOATED (UV420),"R8,529.50",
86EA476,NOVA HD SUNLITE BLUMAX GREY/BROWN 1.74 UNCOATED (UV420),"R13,445.20",
86EA486,NOVA MAXCVUE SUNLITE BLUMAX GREY/BROWN 1.67 UNCOATED (UV420),"R11,343.50",
86EA496,NOVA MAXCVUE SUNLITE BLUMAX GREY/BROWN 1.74 UNCOATED (UV420),"R15,333.10",
86EA506,NOVA MAXCVUE TRANSITIONS GEN S/STYLES & EXTRActive 1.67 UNCOATED,"R13,718.30",
86EA516,NOVA MAXCVUE TRANSITIONS GEN S 1.74 UNCOATED,"R19,239.60",
