"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
84630,"Percutaneous gallstone removal, including drainage",,"R12,245.30"
84635,Transjugular liver biopsy,,"R4,408.10"
84640,Transjugular intrahepatic Portosystemic shunt,,"R21,124.90"
84645,"Transhepatic Portogram including venous sampling, pressure studies",,"R14,480.00"
84650,Transhepatic Portogram with embolisation of varices,,"R17,825.60"
84655,Percutaneous hepatic tumour ablation,,"R2,772.70"
84660,"Percutaneous hepatic abscess, cyst drainage",,"R2,334.00"
84665,Hepatic chemoembolisation,,"R10,510.40"
84670,Hepatic arterial infusion catheter placement,,"R10,662.60"
,Urogenital,,
85600,"Percutaneous nephrostomy, external drainage",,"R5,299.30"
85605,Percutaneous double J stent insertion including access,,"R7,217.70"
85610,"Percutaneous renal stone, foreign body removal including access",,"R11,810.20"
85615,Percutaneous nephrostomy tract establishment,,"R5,175.60"
85620,Change of nephrostomy tube,,"R2,811.80"
85625,Percutaneous cystostomy,,"R2,921.40"
85630,Urethral balloon dilatation,,"R2,517.70"
85635,Urethral stent insertion,,"R5,520.10"
85640,Renal cyst ablation,,"R2,108.10"
85645,"Renal abscess, cyst drainage",,"R2,680.70"
85655,Fallopian tube recanalisation,,"R7,967.60"
,Spinal,,
86600,Spinal vascular malformation embolisation,,"R48,654.80"
86605,Vertebroplasty per level,,"R3,943.10"
86610,"Facet joint block per level, uni- or bilateral",,"R1,686.40"
,"Code 86610 may only be billed once per level, and not per left and right side per level",,
86615,"Spinal nerve block per level, uni- or bilateral",,"R1,442.60"
86620,Epidural block,,"R1,665.40"
86625,"Chemonucleolysis, including discogram",,"R3,239.50"
86630,Spinal nerve ablation per level,,"R2,051.30"
,Vascular,,
,"Code 87654 (Thrombolysis follow up) may only be used on the days following the initial procedure, 87650 (thrombolysis).   
If a balloon angioplasty and / or stent placement is performed at more that one defined anatomical site at the same sitting the relevant codes may be combined. However multiple balloon dilatations or stent placements at one defined site will only attract one procedure code.",,
87600,"Percutaneous transluminal angioplasty: aorta, IVC",,"R10,001.10"
87601,Percutaneous transluminal angioplasty: iliac,,"R9,859.60"
87602,Percutaneous transluminal angioplasty: femoropopliteal,,"R10,637.40"
87603,Percutaneous transluminal angioplasty: subpopliteal,,"R12,968.00"
87604,Percutaneous transluminal angioplasty: brachiocephalic,,"R11,868.40"
87605,"Percutaneous transluminal angioplasty: subclavian, axillary",,"R10,637.40"
87606,Percutaneous transluminal angioplasty: extracranial carotid,,"R12,663.90"
87607,Percutaneous transluminal angioplasty: extracranial vertebral,,"R12,961.30"
87608,Percutaneous transluminal angioplasty: renal,,"R15,505.50"
87609,"Percutaneous transluminal angioplasty: coeliac, mesenteric",,"R15,505.50"
87620,Aorta stent-graft placement,,"R21,351.40"
87621,"Stent insertion (including PTA): aorta, IVC",,"R13,062.00"
87622,Stent insertion (including PTA): iliac,,"R13,504.10"
87623,Stent insertion (including PTA): femoropopliteal,,"R13,786.70"
87624,Stent insertion (including PTA): subpopliteal,,"R14,950.40"
87625,Stent insertion (including PTA): brachiocephalic,,"R17,412.00"
87626,"Stent insertion (including PTA): subclavian, axillary",,"R15,328.40"
87627,Stent insertion (including PTA): extracranial carotid,,"R18,918.10"
87628,Stent insertion (including PTA): extracranial vertebral,,"R17,779.70"
87629,Stent insertion (including PTA): renal,,"R17,433.00"
87630,"Stent insertion (including PTA): coeliac, mesenteric",,"R17,433.00"
87631,Stent-graft placement: iliac,,"R13,504.10"
87632,Stent-graft placement: femoropopliteal,,"R13,786.70"
87633,Stent-graft placement: brachiocephalic,,"R17,412.00"
87634,"Stent-graft placement: subclavian, axillary",,"R14,635.40"
87635,Stent-graft placement: extracranial carotid,,"R21,294.90"
87636,Stent-graft placement: extracranial vertebral,,"R20,286.80"
87637,Stent-graft placement: renal,,"R17,433.00"
87638,"Stent-graft placement: coeliac, mesenteric",,"R17,433.00"
87650,"Thrombolysis in angiography suite, per 24 hours",,"R8,102.20"
,"Code 87650 may be combined with any of the relevant non neuro interventional angiography and interventional codes 10520, 20500, 20510, 20520, 20530, 20540,32500,32530,44500, 44503, 44505, 44507, 44510, 44515, 44517, 44520, 60500, 60510, 60520, 60530, 70500, 70505, 70510, 70515, 87600 to 87638.",,
87651,"Aspiration, rheolytic thrombectomy",,"R13,733.90"
87652,"Atherectomy, per vessel",,"R16,248.40"
87653,Percutaneous tunnelled / subcutaneous arterial or venous central or other line insertion,,"R4,977.70"
87654,Thrombolysis follow-up,,"R4,167.70"
87655,"Percutaneous sclerotherapy, vascular malformation",,"R3,730.90"
87660,"Embolisation, mesenteric",,"R17,758.20"
87661,"Embolisation, renal",,"R17,569.10"
87662,"Embolisation, bronchial, intercostal",,"R19,157.00"
87663,"Embolisation, pulmonary arteriovenous shunt",,"R18,251.60"
87664,"Embolisation, abdominal, other vessels",,"R17,936.80"
87665,"Embolisation, thoracic, other vessels",,"R17,257.90"
87666,"Embolisation, upper limb",,"R16,076.70"
87667,"Embolisation, lower limb",,"R16,292.30"
87668,"Embolisation, pelvis, non-uterine",,"R20,709.30"
87669,"Embolisation, uterus",,"R20,136.50"
87670,"Embolisation, spermatic, ovaria veins",,"R15,175.00"
87680,Inferior vena cava filter placement,,"R10,934.80"
87681,Intravascular foreign body removal,,"R15,035.30"
87682,Revision of access port (tunnelled or implantable),,"R2,496.70"
87683,Removal of access port (tunnelled or implantable),,"R1,966.30"
87690,Superior petrosal venous sampling,,"R12,910.00"
87691,Pancreatic stimulation test,,"R15,876.90"
87692,Transportal venous sampling,,"R13,606.50"
87693,Adrenal venous sampling,,"R9,726.90"
87694,Parathyroid venous sampling,,"R15,323.40"
87695,Renal venous sampling,,"R9,726.90"
,ANNEXURE A,,
,"Radiology tariff Contrast price  effective 1 Janaury 2004 PER VIAL
For use in conjuction with codes:

00190 X-ray examination contrast material
00290 Ultrasound examination contrast material
00390 CT examination contrast material
00490 MR examination contrast material
00590 Angiography and interventional examination contrast material


",,
,ANNEXURE B,,
,Radiology tariff Contrast price effective 1 Jan 2004 PER VIAL,,
,Contrast Index Price Range - 2004 contrast prices,,
,ANNEXURE C,,
,"Recommended Isotope and Kit Prices for Nuclear Medicine for 2004 by the Association of Nuclear Medicine Physicians
For use in conjuction with codes:

00990 Nuclear Medicine Isotope
00991 Nuclear Medicine Substrate

",,
,ANNEXURE D. PET GUIDELINES,,
A.,INDICATIONS,,
,"For the purposes of this guideline, only established indications for PET-CT are included and this relates to the more common types of malignancies as seen in practice. While some of the less common forms of cancer may also yield advantages with PET-CT imaging, there is as yet insufficient published data to support the general use and these have been excluded in the list below. This situation may change as new research and information becomes available.",,
,"1. Non-small cell lung carcinoma (NSCC)
   a) Primary diagnosis of lesions
      i. >10mm diameter lesions where conventional imaging and biopsy have been inconclusive.
   b) Staging especially where curative surgery is planned
      i. Evaluation of primary tumour (T-stage).
     ii. Suspected nodal disease or characterization of nodal disease
    iii. Suspected distal metastases of determining extent of metastases.
     iv. Solitary distal metastasis where metastatectomy is considered. PET-CT is used to exclude additional lesions which would preclude surgery.
   c) Investigation of suspected recurrence (restaging)
      i. Local or regional recurrence
     ii. Nodal or distal recurrence
    iii. Determine the extent of proven recurrent disease
     iv. Differentiate fibrotic mass from active disease
   d) All patients with proven carcinoma of the lung, who are considered for curative resection, should be imaged with PETCT prior to surgery.
   e) Current available literature confirms that PET-CT is more accurate than CT or PET alone for staging and restaging of NSCC.",,
,"2. Hodgkin’s and Non-Hodgkin’s Lymphoma
   a) Single most accurate imaging modality for Hodgkins and Non-Hodgkins lymphoma.
   b) Staging
      i. All patients prior to commencing treatment as baseline, following diagnosis.
     ii. Indicated at completion of therapy to confirm complete response.
   c) Monitoring of response to treatment
      i. Numerous studies have confirmed that mid-treatment PET scans predict clinical outcome.
     ii. Prognostic value and role in modification of therapeutic regime.
   d) Investigation of residual or recurrent disease (restaging)
      i. Where conventional imaging is equivocal for residual disease.
     ii. Suspected nodal recurrence.
    iii. Differentiating recurrent and residual disease from post-therapeutic fibrosis and scarring.",,
,"3. Thyroid carcinoma
   a) Not indicated for primary diagnosis.
   b) Staging
      i. Primary examination of choice is I-123 whole body scintigraphy.
     ii. Only indicated for differentiated and medullary carcinoma of the thyroid in patients with negative I-123, but with a high index of suspicion for nodal or distal metastases on cross sectional imaging or where whole body I-123 scan is equivocal.
   c) Investigation of residual or recurrent disease (restaging)
      i. Elevated thyroglobulin despite negative whole body scintigraphy for differentiated thyroid carcinoma.
     ii. Elevated calcitonin levels and equivocal imaging findings for medullary thyroid carcinoma.
    iii. Solitary distal metastasis where metastatectomy is considered. PET-CT is used to exclude additional lesions which would preclude surgery.",,
,"4. Head and neck carcinoma
   a) Primary diagnosis
      i. There is little, if any, role for PET-CT in primary diagnosis of mucosal lesions.
     ii. Limited to identifying primary tumour in histologically proven metastatic squamous cell carcinoma in cervical nodes.
   b) Staging of the primary tumour prior to therapy
      i. Local nodes which are equivocal on CI (conventional imaging).
     ii. Suspected distal adenopathy
    iii. Suspected distal metastases
     iv. All patients where uni- or bilateral surgery is planned (may alter management and approach by up to 50% and is significantly more accurate than CT alone).
      v. Excellent sensitivity (96,4%) for local and distal nodal disease (specificity in local disease may be affected by physiological uptake).
   c) Investigation of residual or recurrent disease (restaging)
      i. Differentiating fibrosis and recurrence where routine imaging is equivocal and may reduce the number of equivocal findings by up to 50%.
     ii. Following neo-adjuvant therapy for re-staging.
    iii. Suspected local or distal recurrence.
     iv. Differentiating post-therapeutic changes from residual or recurrent tumours poses significant problems for CT and MRI. PET-CT is significantly more accurate than routine cross sectional imaging in this regard.",,
,"5. Breast cancer
   a) There is no role for PET-CT in the primary diagnosis, sentinel node mapping or imaging of locally contained node negative tumours.
   b) No role for carcinoma-in-situ.
   c) PET-CT imaging is limited to patients with infiltrating ductal carcinoma.
   d) Staging
      i. Only indicated if there is a significant chance of distal disease as determined by axillary dissection or where conventional imaging is equivocal.
     ii. Can result in up to 57% change of stage and management compared to other CI (conventional imaging).
    iii. High accuracy (86% vs. 77% for CT alone) for nodal and distal metastases in patient with infiltrating ductal carcinoma.
   e) Investigation of recurrent disease (restaging)
      i. Suspected local or regional recurrence.
     ii. Suspected nodal or distal metastatic recurrence.
    iii. Differentiate post therapeutic fibrosis from recurrent or residual tumour.
     iv. Significantly more accurate for nodal and distal recurrence than conventional imaging.",,
,"6. Colorectal cancer
   a) No role in the diagnosis of the primary tumour.
   b) Accurate for staging (89%) and restaging (88%)
   c) Staging
      i. Suspected distal nodal metastases where conventional imaging is equivocal, particularly distal nodes.
     ii. Suspected distal metastases.
    iii. Evaluation of suspected single metastases considered for curative surgical resection to exclude concomitant disease.
     iv. May result in changes in treatment in up to 27% of patients.
   d) Investigation of residual or recurrent disease (restaging)
      i. Suspected local pelvic or distal recurrence.
     ii. Differentiate local and distal post therapeutic changes from residual and recurrent disease.
    iii. Evaluate and restage following neo-adjuvant therapy.
     iv. Evaluate patients with rising tumour markers and normal or equivocal conventional imaging.",,
,"7. Stomach carcinoma - GIST
   a) In GIST tumours FDG tracer uptake is established.
      i. Indicated to determine response to treatment as determined by tumour activity on PET-CT measuring tracer uptake (SUV).
     ii. Paradigm shift in assessing tumour responses to treatment.
    iii. Response to Imatinib (Gleevec) can be predicted with 18FFDG as early as 24h after commencing treatment and long before any change in tumour size is demonstrated on conventional imaging.
     iv. Baseline study before commencing treatment is essential to determine degree of tracer uptake for post-treatment comparison.
   b) Variable uptake of tracer in other stomach tumours, which is difficult to explain and to predict. Routine imaging is not supported in other types of stomach tumours, at this stage.",,
,"8. Testicular Carcinoma
   a) Complex histology and variable uptake of different histological sub-groups.
   b) Limited to seminoma and teratoma in the following cases:
      i. Evaluate residual mass to differentiate residual/recurrent tumour from fibrosis.
     ii. Suspected recurrence but normal or equivocal conventional imaging findings.",,
,"9. Oesophageal carcinoma
   a) Not indicated for primary diagnosis.
   b) Staging for nodal and distal metastases (90% accurate)
      i. Indicated for N-staging, particularly where there is suspected distal nodal disease or where conventional imaging is equivocal.
     ii. Indicated for M- staging where distal metastases are suspected.
    iii. Strongly indicated for patient undergoing curative surgery to exclude distal disease.
   c) Investigation of residual or recurrent disease (restaging)
      i. Restaging for patients who have undergone neo-adjuvant chemotherapy.
     ii. Suspected local or distal recurrent disease.
    iii. Differentiate post therapeutic fibrosis from recurrent or residual disease.",,
,"10.Melanoma
   a) No role in primary diagnosis which is primarily a surgical/histological diagnosis.
   b) Staging is determined by depth of penetration of the primary tumour and presence of sentinel node at surgery.
      i. Indicated for Stage 3 and 4 disease where there is a high incidence of distal nodal and metastatic disease.
     ii. Solitary distal metastasis on conventional imaging where metastatectomy is considered. PET-CT is used to exclude additional lesions which would preclude surgery.
    iii. Overall N and M staging is significantly more accurate than conventional imaging (97% vs 80%).
   c) Investigation of recurrent disease (restaging)
      i. Modality of choice for recurrent nodal and distal metastatic disease.
     ii. Differentiate post therapeutic fibrosis from recurrent or residual disease.
   d) PET-CT may alter management in up to 33,9% of patients with Stage III and IV disease.",,
,"11.Ovarian carcinoma
   a) Most cases present as advanced disease.
   b) Recurrence is frequent and the overall 5-y survival for advanced disease is only 17%.
   c) Diagnosis and initial staging require a laparotomy as small peritoneal deposits may be difficult to demonstrate on imaging
      i. PET-CT is indicated where surgical or conventional imaging findings are equivocal for primary staging.
     ii. PET-CT is accurate for demonstrating nodal and distal disease.
    iii. Sensitivity is limited by size of peritoneal deposits. It is more accurate for macroscopic disease.
   d) Investigation of recurrent disease (restaging)
      i. Superior to CT and MRI for recurrence (92% sens. and 76,4% spec.).
     ii. Alternative to a second look laparotomy (presents significant cost saving potential).
    iii. Definite role for patients with rising tumour marker where conventional imaging is negative for recurrence.",,
,"12.Carcinoma of unknown primary
   a) By definition, unknown primary tumors are those that remain undetected after all diagnostic resources have been used.
   b) PET-CT may detect up to 57% primary tumours when conventional cross sectional imaging has been negative.
   c) PET-CT is indicated where conventional imaging has failed to identify a primary malignancy.",,
B.,LIMITED VALUE AND RELATIVE CONTRAINDICATIONS,,
,These conditions are those where there is variable or poor uptake of the tracer FDG or where imaging is routinely performed with tracers other than FDG which are not locally available. This may result in false negative findings using FDG and the routine use of PET-CT should be discouraged.,,
,"1. Urological Malignancy
   a) No role in diagnosis and staging of renal cell carcinoma
   b) Prostate limited to suspected recurrence in histologically proven high grade tumours. Prostate is ideally imaged with Choline as tracer.
   c) No role for diagnosis and staging of bladder carcinoma
2. Broncho-alveolar cell carcinoma
3. Small cell carcinoma of the lung
4. Hepatocellular carcinoma
5. Sarcomas
6. Neuro-endocrine tumours
7. Anaplastic thyroid carcinoma which is Grade 4 by definition, at diagnosis.
8. Suspected brain tumours where MRI is more sensitive and specific.
9. Tumours with large mucinous components.
10.Lobular carcinoma of the breast",,
,"In addition to these tumours, imaging should be used with caution in patients who are diabetic or who have recently used high doses of cortico-steroids.",,
