"GEMS PROFESSIONAL FEES TARIFFS FOR ORTHOTICS & PROSTHETICS
WITH EFFECT FROM 2026-01-01",,,"
 087 - Orthotics & Prosthetics
"
Tariff code,Description,2026 Tariff Value,Flag
"Disclaimer: 
1. All Orthotic and Prosthetic tariff codes, NAPPI codes, and tariff rates are subject to Scheme rules, benefits, protocols, policies, and member/beneficiary available limits and sub-limits.
2. Pre- authorization and provider referral will be subject to a threshold, and this may include other codes as per the flag column where the Scheme deems necessary.",,,
10547,Addition to prosthetic fitting - Prosthetic skin - BK,,Authorisation and referral required  
10550,Addition to prosthetic fitting - Prosthetic skin - AK,,Authorisation and referral required  
10551,"Repair to prosthesis - Replace AK, TK & HD cosmetic cover ",,Authorisation and referral required  
10552,Repair to prosthesis - Replace BK cosmetic cover ,,Authorisation and referral required  
10553,Addition to prosthetic fitting -  flexible inner socket,,Authorisation and referral required  
10554,Addition to prosthetic fitting - Ischium Containment Socket,,Authorisation and referral required  
10556,Addition to prosthetic fitting - test socket - diagnostic,,Authorisation and referral required  
10558,Addition to prosthetic fitting -  test socket - diagnostic for silicone prosthesis,,Authorisation and referral required  
10565,Addition to prosthetic fitting - socket liner replaced,,Authorisation and referral required  
10568,Repair to prosthesis - re-laminate shin of prosthesis,,Authorisation and referral required  
10571,Laminate thigh of prosthesis,,Authorisation and referral required  
10574,Socket lined with leather,,Authorisation and referral required  
10580,Re-alignment (dynamic)of AK/TK modular prosthesis,,Authorisation and referral required  
10583,Re-alignment (dynamic)of BK modular prosthesis,,Authorisation and referral required  
10584,Addition to prosthetic fitting - fitting of hydraulic / pneumatic knee ,,Authorisation and referral required  
10585,Addition to prosthetic fitting - fitting of micro-processor controlled hydraulic / pneumatic knee ,,Authorisation and referral required  
10586,Belt - prosthetic - fit hip-joint and pelvic band to prosthesis (excluding cost of hip joint) ,,Authorisation and referral required  
10589,Belt - prosthetic - shoulder  ,,Authorisation and referral required  
10592,Belt - prosthetic - silesion  ,,Authorisation and referral required  
10598,Belt - prosthetic - waist  ,,Authorisation and referral required  
10601,Corset thigh and knee joints fitted to prosthesis (excluding joints),,Authorisation and referral required  
10604,Corset thigh weightbearing and knee joints added to prosthesis (excluding joints),,Authorisation and referral required  
10607,Belt - prosthetic back check strap,,No authorisation and referral required  
10610,Belt - prosthetic backlift,,No authorisation and referral required  
10613,Belt - prosthetic crutch strap,,No authorisation and referral required  
10616,Belt - prosthetic ptb strap,,No authorisation and referral required  
10619,Belt - prosthetic thigh corset,,Authorisation and referral required  
10622,Belt - prosthetic waistbelt leather,,Authorisation and referral required  
10625,Belt - prosthetic waistbelt webbing,,No authorisation and referral required  
10628,Silicone sleeve - custom made (sleeve only),,Authorisation and referral required  
10631,Fit shuttle lock fitted to prosthesis (excl lock) ,,Authorisation and referral required  
10637,Prosthetic fitting - partial hand  - passive,,Authorisation and referral required  
10640,Prosthetic fitting - partial hand - functional ,,Authorisation and referral required  
10643,Prosthetic fitting - partial hand - opposition post ,,Authorisation and referral required  
10644,"Prosthetic fitting - finger - silicone aesthetic, each",,Authorisation and referral required  
10645,"Additional fee - silicone nail for aesthetic finger/hand/cover, each",,No authorisation and referral required  
10646,"Additional fee - acrylic nail for aesthetic finger/hand/cover, each",,Authorisation and referral required  
10655,Prosthetic fitting - wrist disarticulation ,,Authorisation and referral required  
10658,Prosthetic fitting - refit wrist disarticulation ,,Authorisation and referral required  
10661,Prosthetic fitting - wrist disarticulation - myoelectric,,Authorisation and referral required  
10664,Prosthetic fitting - refit wrist disarticulation - myoelectric,,Authorisation and referral required  
10667,Prosthetic fitting - trans-radius ,,Authorisation and referral required  
10670,Prosthetic fitting - refit trans-radius ,,Authorisation and referral required  
10673,Prosthetic fitting - trans-radius Prosthetic fitting - myoelectric ,,Authorisation and referral required  
10676,Prosthetic fitting - refit trans-radius Prosthetic fitting - myoelectric ,,Authorisation and referral required  
10679,Prosthetic fitting - elbow disarticulation ,,Authorisation and referral required  
10682,Prosthetic fitting - refit elbow disarticulation ,,Authorisation and referral required  
10685,Prosthetic fitting - elbow disarticulation  - myoelectric ,,Authorisation and referral required  
10688,Prosthetic fitting - refit elbow disarticulation  - myoelectric ,,Authorisation and referral required  
10691,Prosthetic fitting - trans-humerus Prosthetic fitting,,Authorisation and referral required  
10694,Prosthetic fitting - refit trans-humerus Prosthetic fitting,,Authorisation and referral required  
10697,Prosthetic fitting - trans-humerus Prosthetic fitting - myoelectric ,,Authorisation and referral required  
10700,Prosthetic fitting - refit trans-humerus Prosthetic fitting - myoelectric ,,Authorisation and referral required  
10703,Prosthetic fitting - shoulder disarticulation ,,Authorisation and referral required  
10706,Prosthetic fitting - refit shoulder disarticulation ,,Authorisation and referral required  
10709,Prosthetic fitting - shoulder disarticulation - Myoelectric ,,Authorisation and referral required  
10712,Prosthetic fitting - refit shoulder disarticulation - Myoelectric ,,Authorisation and referral required  
10715,Prosthetic fitting -  test socket - diagnostic,,Authorisation and referral required  
10724,Cable - AE,,Authorisation and referral required  
10727,Cable - BE,,Authorisation and referral required  
10730,Corset - BE,,Authorisation and referral required  
10733,Harness - AE,,Authorisation and referral required  
10736,Harness - BE,,Authorisation and referral required  
